papers_name,papers_abstract,papers_year,papers_keywords,papers_type,papers_country,papers_cluster_number,papers_keywords_score
Product family design and optimization: A digital twin-enhanced approach,"Complex product family design and optimization has been a major challenge in today's mass customization paradigm. Nevertheless, there is still no context-aware testbed to support it. Digital twin, as an emerging concept empowered by the cutting-edge information and communication technology, has been widely adopted to realize smart product-service systems across many sectors. Owing to its advantages of high-fidelity simulation and cyber-physical interconnectivity, a generic digital twin-driven approach is proposed to support the in-context virtual prototyping and usage condition monitoring of complex product family. A case study of tower crane family design and optimization is further exploited to validate its cost-effectiveness. © 2020 The Authors.",2020,Condition monitoring Cost effectiveness Manufacture Product design Service industry Complex products Cyber physicals Design and optimization High-fidelity simulations Interconnectivity Mass customization Product family design Smart products Digital twinDesign optimization Digital twin Product family design Servitization,academic,"Department of Industrial and Systems Engineering, Hong Kong Polytechnic University, Hung Hom, Hong Kong; School of Mechanical and Aerospace Engineering, Nanyang Technological University, Singapore, Singapore",327,0.2
Decision support in productive processes through DES and ABS in the Digital Twin era: a systematic literature review,"The use of simulation to support decision-making in productive processes (goods and services) is already an established research field. However, with the availability of solutions and technologies, simulation is no longer a tool with limited scope and analysis. In this case, the integration of simulation with physical systems is considered to allow virtual models to be sensitive to physical changes and aligned with the current state of processes, forming the so-called Digital Twin. Therefore, the main purpose of this article is to present a systematic literature review of the use of simulation as Digital Twin to support decision-making. We considered studies published in scientific journals and conference proceedings that include the use of Discrete Event Simulation (DES) and/or Agent-Based Simulation (ABS). Although the Digital Twin concept has appeared in recent years, we noted that its principle has been used for decades when it comes to decision-making through simulation. Moreover, there are still many discussions and uncertainties regarding the simulation model in this research field, such as the degree of autonomy, synchronisation, and connection. These and other key issues are discussed and some research opportunities are highlighted, such as the need for constant model validation and integration between various models. © 2021 Informa UK Limited, trading as Taylor & Francis Group.",2022,Decision making Decision support systems Discrete event simulation Agent based simulation Decision supports Degree of autonomy Physical systems Productive process Research opportunities Scientific journals Systematic literature review Digital twinagent-based simulation decision-making Digital Twin discrete event simulation systematic literature review,academic,"Production Engineering and Management Institute, Federal University of Itajubá (UNIFEI), Itajubá, Brazil",333,0.2564102564102564
Decision-making in a fast fashion company in the Industry 4.0 era: a Digital Twin proposal to support operational planning,"This work explores the improvement of operational decision-making in a Fast Fashion manufacturing company, considering the Industry 4.0 era. The segment requires agile and flexible decision-making techniques to guarantee the companies survival in a high variety environment of products and demand. The proposed approach was based on three stages. First, we suggested changes and improvements in the system to adapt it to the Industry 4.0 principles. Then, we proposed a Digital Twin (DT) focused on operational resource planning (physical and human). The DT was composed of a Discrete Event Simulation model, an Artificial Intelligence model, and a decision dashboard that provides a user-friendly interface for the decision-maker. Finally, the last stage corresponds to cyclical and constant DT-based decision-making. The DT-based decisions helped to decrease the number of operators in the line reducing their idleness and, at the same time, the total lead time became shorter. Therefore, we highlight that the concepts and solutions of Industry 4.0 might be consistent with small companies without major structural changes, contributing to the evolution of the manufacturing systems. © 2021, The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature.",2021,Artificial intelligence Digital twin Discrete event simulation Industry 4.0 User interfaces Decision makers Discrete-event simulation model Fashion companies Manufacturing companies Operational decision making Operational planning Resource planning User friendly interface Decision makingArtificial intelligence Digital Twin Discrete event simulation Fast fashion Industry 4.0 Operational planning,academic,"Production Engineering and Management Institute, Federal University of Itajubá (UNIFEI), Ave. BPS, Itajubá, 1303, Minas Gerais, Brazil",333,0.20454545454545456
Online prediction technology of workshop operating status based on digital twin; [基于数字孪生的生产车间运行状态在线预测],"Aiming at the online prediction problem of the digital twin workshop, an online prediction method of the operation status of digital twin workshop based on real-time data was proposed. The connotation and operating mechanism of the workshop digital twin was analyzed, a simulation prediction framework based on the workshop digital twin was constructed, the simulation operation logic based on the event scheduling method was explained, and the digital twin workshop input characteristics, sample generation, and event processing logic were established. The fusion of real-time data realized the online prediction of the workshop based on continuous transient simulation. An online simulation system for the operating status of the digital twin workshop was designed and developed, and the feasibility and effectiveness of the method were verified through an example. © 2021, Editorial Department of CIMS. All right reserved.",2021,Forecasting Event scheduling Online prediction Online simulation Operating mechanism Operation status Sample generations Simulation prediction Transient simulation Digital twinContinuous transient simulation Digital twin workshop Event scheduling Online prediction Real-time data,academic,"School of Mechanical Engineering, Beijing Institute of Technology, Beijing, 100081, China",333,0.26666666666666666
The digital twin of the business process model,"In this paper, we propose a solution to the problem of organizational management based on high-precision simulation models designed for numerical forecasting of the parameters of business process models - duration, labor intensity and resource intensity, cost. The solution is implemented as a prototype twin of the business process system model. To solve the problem of predicting the numerical indicators of a business process model, the formula and algorithmic apparatus of stochastic GERT networks is used. BPMS ELMA was used as a technical platform for the implementation of a digital twin prototype. To solve this problem, the apparatus of stochastic GERT networks is used. An edge of the GERT network is associated with the operation of the business process, and the node of the GERT network with an event or gateway of the business process. An algorithm for translating a model of a business process into an equivalent GERT network, as well as calculating the parameters of the law of distribution of the cost of a business process based on the obtained GERT network, is given. The proposed tool, implemented in the digital twin modeling module, allows solving the problems of predicting the dynamics of discrete-event models described in BPMN notation without using statistical simulation models. Continuous updating of the structure of the GERT-model in accordance with the modification of the process in the ELMA system and clarification of the parameters of probabilities, the type of distribution laws and their parameters based on the accumulated data of the digital shadow of the business process allows us to talk about the implementation of a high-precision forecasting model of the business process in the proposed digital twin model. © Published under licence by IOP Publishing Ltd.",2020,Costs Critical path analysis Digital twin Forecasting Gateways (computer networks) Probability distributions Stochastic models Stochastic systems Business process model Continuous updating Discrete event models Forecasting modeling Law of distribution Numerical forecasting Organizational management Statistical simulation Discrete event simulation,academic,"Reshetnev Siberian State University of Science and Technology, ""Krasnoyarsky rabochy""avenue 31, Krasnoyarsk, Russian Federation",333,0.3684210526315789
A decision support tool for operational planning: a Digital Twin using simulation and forecasting methods,"Paper aims: Propose a continuous decision support system, a Digital Twin, integrating two widely used techniques, Discrete Event Simulation and forecasting methods. Originality: With the evolution of the industry, there is a growing need for increasingly agile and assertive decision support systems. Also, familiar tools and techniques tend to change over time to suit such a scenario, supporting new researches on their use in the modern industry. Research method: The proposed method allows the use of simulation, with the aid of forecasting methods, for continuous decision making, composing the so-called Digital Twin. The method was applied in a real process to validate it. Main findings: The Moving Average, Single Exponential Smoothing, and Double Exponential Smoothing forecasting methods were used to supply the simulation model in order to test scenarios and guide decision making. The developed system enabled a virtual copy with a certain degree of intelligence and that provides answers to make the constant decision-making process more efficient. Implications for theory and practice: The proposed method can be used for several operational problems like headcount, production planning and covers different levels of decision. Therefore, it can be used both on the shop floor and at managerial levels. © 2020. All Rights Reserved.",2020,Decision support system Digital Twin Discrete Event Simulation Forecasting methods Operational planning,academic,"Universidade Federal de Itajubá, Itajubá, MG, Brazil",333,0.3333333333333333
Process analytical technology as key-enabler for digital twins in continuous biomanufacturing,"Over the last few years rapid progress has been made in adopting well-known process modeling techniques from chemicals to biologics manufacturing. The main challenge has been analytical methods as engineers need quantitative data for their workflow. Industrialization 4.0, Internet of Things, artificial intelligence and machine learning activities up to big data analysis have taken their share in solving fundamental problems like component- or at least group-specific evaluation of spectroscopic data. Besides, concerning inline analytics methods included in process analytical technology concepts the key technology has been the generation of decisive validated digital twins based on process models. This review aims to summarize the methodology to achieve a holistic understanding of process models, control and optimization by means of digital twins using the example of recent work published in this field. © 2021 The Authors. Journal of Chemical Technology and Biotechnology published by John Wiley & Sons Ltd on behalf of Society of Chemical Industry (SCI). © 2021 The Authors. Journal of Chemical Technology and Biotechnology published by John Wiley & Sons Ltd on behalf of Society of Chemical Industry (SCI).",2022,Artificial intelligence Biotechnology Chemical industry Spectroscopic analysis Analytical method Bio-manufacturing Industrialisation Modeling Modelling techniques Process analytical technology Process-models Quantitative data Simulation Work-flows artificial intelligence digital twin machine learning methodology nonhuman Review spectroscopy Process controlbiochemical engineering biotechnology modelling process control simulation,academic,"Institute for Separation and Process Technology, University of Technology Clausthal, Clausthal-Zellerfeld, Germany",340,0.2
Nonlinear Model Predictive Control: from Digital Twin to Real-World Application in Polymerization Process,"This paper gives an overview and recent results of an ongoing pilot application of a nonlinear MPC (Model Predictive Controller) to an industrial polymerization process. Both MPC and soft sensor are using the same digital process twin, a high-fidelity dynamic flowsheet model based on first principles, which is also the heart of an operator training system. © 2022, VDI Verlag GMBH. All rights reserved.",2022,Model predictive control Personnel training Predictive control systems Digital process High-fidelity Model predictive controllers Model-based OPC Non-linear modelling Nonlinear model predictive control Pilot applications Polymerization process Real-world Soft sensors Polymerization,academic,"Solutions Process Automation, Simulation & Digitalization, Siemens AG, Erlangen, Germany; Siemens AG, Karlsruhe, Germany; Siemens PSE, Parsippany, United States; London, United Kingdom",340,0.2
Digital Twin in biomanufacturing: challenges and opportunities towards its implementation,"The domain of industrial biomanufacturing is enthusiastically embracing the concept of Digital Twin, owing to its promises of increased process efficiency and resource utilisation. However, Digital Twin in biomanufacturing is not yet clearly defined and this sector of the industry is falling behind the others in terms of its implementation. On the other hand, some of the benefits of Digital Twin seem to overlap with the more established practices of process control and optimization, and the term is vaguely used in different scenarios. In an attempt to clarify this issue, we investigate this overlap for the specific case of fermentation operation, a central step in many biomanufacturing processes. Based on this investigation, a framework built upon a five-step pathway starting from a basic steady-state process model is proposed to develop a fully-fledged Digital Twin. For demonstration purposes, the framework is applied to a bench-scale second-generation ethanol fermentation process as a case study. It is proposed that the success or failure of a fully-fledged Digital Twin implementation is determined by key factors that comprise the role of modelling, human operator actions, and other propositions of economic value. © 2021, Jiangnan University.",2021,Biomanufacturing Digital Twin Fermentation Modelling Process control,academic,"Department of Chemical and Biochemical Engineering, Process and Systems Engineering Center (PROSYS), Technical University of Denmark, Building 228 A, Kgs. Lyngby, 2800, Denmark; School of Biotechnology, Jiangnan University, Jiangsu, Wuxi, 214122, China; Department of Process Engineering, TH Nürnberg, Nuremberg, 90489, Germany",340,0.2857142857142857
A Conceptual Framework for AI-based Operational Digital Twin in Chemical Process Engineering,"As digitalization is becoming more and more an integral part of business in all sectors, the digital twin paradigm starts to play a more crucial role. This paper primarily aims at describing a generic framework for digital twin development in chemical process industry from an operational perspective. The main building blocks of the operational digital twin are presented, namely data management, process modeling, process optimization, production scheduling, and process control, as well as the deployment. Strong emphasis is put on the advanced process control hierarchy. Additionally, the role of artificial intelligence in the development and deployment of operational digital twin in process industry is presented, particularly regarding surrogate modeling, predictive modeling and AI supported optimization and control. Consequently the potential for new business models induced by digitalization is discussed, and an outlook for prospective research topics is provided. © 2020 IEEE.",2020,Artificial intelligence Chemical industry Digital twin Engineering research Information management Optimization Predictive analytics Process engineering Production control Scheduling Advanced Process Control Chemical process engineering Chemical process industry Conceptual frameworks New business models Optimization and control Predictive modeling Production Scheduling Process controladvanced process control artificial intelligence Digital twin predictive modeling process industry,academic,"Air Liquide Rd, Innovation Campus Frankfurt, Air Liquide Forschung und Entwicklung GmbH, Frankfurt, 60388, Germany",340,0.2549019607843137
Representing financial data streams in digital simulations to support data flow design for a future Digital Twin,"Discrete Event Simulations may be used to forecast detailed production system behaviour under future conditions and support better informed decision making. However, data beyond production metrics, e.g. financial information, is also necessary for most significant decisions. Herein a modelling approach is proposed and demonstrated based on simulating both production and financial transactions. The contribution of this paper is to represent the base production events as well as additional events which trigger financial transactions. The method is demonstrated for an idealised production business, employing Discrete Event Simulation and examining the impact of system labour arrangements on the business cash flow with a variable demand based on a normal probability distribution function (with distinct means and variances for each product). Based on the financial transactions a representation of a detail commercial scenario may be modelled alongside the production events. The presented studies identify the potential sensitivity of analysis to the volume and timing of transactions on accumulated accounting metrics such as profit. Additionally the paper illustrates how such a modelling approach can be used to characterise the system and assess specific control strategies when both production and finance data streams are available. © 2019 Elsevier Ltd",2020,Decision making Discrete event simulation Distribution functions Sensitivity analysis Financial information Financial metrics Financial transactions Normal probability distributions Production business Production demand Real-time forecasting Resource planning FinanceDiscrete Event Simulation Factory Digital Twin Financial metrics Industrial Internet of Things Labour resource planning Production demand Real time forecasting,academic,"School of Mechanical and Aerospace Engineering, Queen's University Belfast, Ashby Building, Belfast, BT9 5AH, Northern Ireland, United Kingdom; N.I. Technology Centre, Queen's University Belfast, Belfast, BT9 5HN, United Kingdom",355,0.21739130434782608
